contract_layer,sidecar_truth_kind,intended_dataset,files
contract_truth,contract_context,contract,5
contract_truth,detector_contract_or_rule_truth,contract,22
contract_truth,field_contract_context,contract,1
contract_truth,system_policy_contract_context,contract,3
manifest_log,diagnostic_or_lineage_manifest,contract,19
manifest_log,exclusion_manifest,contract,1
manipulation_truth,actual_issue_truth,manipulation,6
sidecar_context,boundary_or_downstream_control_context,contract,1
sidecar_context,boundary_or_holdout_context,contract,13
sidecar_context,boundary_or_master_data_context,contract,1
sidecar_context,case_or_drilldown_context,contract,11
sidecar_context,confirmed_issue_subset,contract,17
sidecar_context,cross_rule_labeled_context,contract,1
sidecar_context,document_projection_context,contract,2
sidecar_context,drilldown_candidate,contract,1
sidecar_context,limitation_or_untestable_context,contract,1
sidecar_context,negative_control,contract,8
sidecar_context,normal_or_legitimate_context,contract,33
sidecar_context,priority_review_context,contract,1
sidecar_context,review_context,contract,1
sidecar_context,review_population_or_detector_universe,contract,32
